﻿キー,項目名,単位,2018Q4
company_name,社名,,株式会社カカクコム
ceo_name,代表社名,,代表取締役社長　　畑　彰之介
headquarters_address,所在地,,東京都渋谷区恵比寿南三丁目５番７号
accounting_standard,会計基準,,IFRS
fiscal_year,会計年度,年,2018
fiscal_quarter,四半期,,4
tdnet_title,tdnet開示資料名,,【65010】株式会社日立製作所 平成27年3月期 決算短信〔IFRS〕(連結)
edinet_title,edinet開示資料名,,【65010】株式会社日立製作所 平成27年3月期 有価証券報告書〔IFRS〕(連結)
issued_share_num,発行済株式総数,株,
treasury_stock_num,自己株数,株,0
employee_num,従業員数,人,
assets,総資産,百万円,"42,143"
current_assets,流動資産,百万円,"28,774"
cash_and_deposits,現預金,百万円,"20,517"
notes_accounts_receivable,受取手形及び売掛金,百万円,"6,857"
notes_receivable,受取手形,百万円,
accounts_receivable,売掛金,百万円,
inventories,在庫,百万円,
merchandise,商品,百万円,
work_in_process,仕掛品,百万円,
raw_materials_and_supplies,原材料,百万円,
non_current_assets,固定資産,百万円,"13,369"
tangible_fixed_assets,有形固定資産,百万円,
liabilities,負債,百万円,"7,737"
current_liabilities,流動負債,百万円,"7,132"
notes_accounts_payable,支払手形及び買掛金,百万円,"1,986"
accounts_payable,買掛金,百万円,
notes_payable,支払手形,百万円,
short_term_bonds_payable,短期社債,百万円,
short_term_loans_payable,短期借入金,百万円,223
commercial_papers_liabilities,コマーシャルペーパー,百万円,
current_lease_obligations,リース債務（流動負債）,百万円,
current_portion_of_long_term_loans,1年以内返済の長期借入金,百万円,
current_portion_of_bonds,1年以内返済の社債,百万円,
current_portion_of_convertible_bonds,1年以内返済の転換社債,百万円,
current_portion_of_bonds_with_subscription_rights,1年以内返済の新株予約権付社債,百万円,
non_current_liabilities,固定負債,百万円,605
bonds_payable,社債,百万円,
convertible_bonds,転換社債,百万円,
convertible_bond_type_bonds_with_subscription_rights,新株予約権付転換社債,百万円,
non_current_bonds_with_subscription_right,新株予約権付社債,百万円,
long_term_loans_payable,長期借入金,百万円,264
non_current_lease_obligations,リース債務（固定負債）,百万円,
net_assets,純資産,百万円,"34,406"
shareholders_equity,株主資本,百万円,"34,049"
capital_stock,資本金,百万円,916
retained_earnings,利益剰余金,百万円,"33,238"
treasury_stock,自己株式,百万円,"-1,115"
valuation_and_translation_adjustments,評価換算差額等,百万円,
non_controlling_interests,非支配持分,百万円,357
subscription_rights,新株予約権,百万円,172
net_sales,売上,百万円,"12,513"
cost_of_sales,売上原価,百万円,0
gross_profit,売上高総利益,百万円,"12,512"
sga,販売費および一般管理費,百万円,"6,952"
operating_income,営業利益,百万円,"5,560"
non_operating_income,営業外利益,百万円,3
non_operating_expenses,営業外損失,百万円,31
interest_expense,支払利息,百万円,
ordinary_income,経常利益,百万円,"5,533"
extraordinary_income,特別利益,百万円,
extraordinary_loss,特別損失,百万円,
impairment_loss,減損損失,百万円,
income_before_income_taxes,税引前当期純利益,百万円,"5,533"
income_taxes,法人税等,百万円,"1,997"
net_income,当期純利益,百万円,"3,534"
operating_cash_flow,営業キャッシュフロー,百万円,"3,110"
investment_cash_flow,投資キャッシュフロー,百万円,-525
financial_cash_flow,財務キャッシュフロー,百万円,"-3,098"
depreciation,減価償却費,百万円,452
amortization,のれん償却費,百万円,
ex_net_sales,売上（会予）,百万円,"52,000"
ex_operating_income,営業利益（会予）,百万円,"25,200"
ex_ordinary_income,経常利益（会予）,百万円,
ex_net_income,当期純利益（会予）,百万円,"17,090"
ex_dividend,配当予想,円,36
dividend,配当金,円,
